ID,TITLE,url,PUBLISHER,CATEGORY,STORY,HOSTNAME,TIMESTAMP,content,is_trusted,prediction,confidence
1,"Fed official says weak data caused by weather, should not slow taper","http://www.latimes.com/business/money/la-fi-mo-federal-reserve-plosser-stimulus-economy-20140310,0,1312750.story\?track=rss",Los Angeles Times,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.latimes.com,1390000000000.0,,False,Unknown,0.0
2,Fed's Charles Plosser sees high bar for change in pace of tapering,http://www.livemint.com/Politics/H2EvwJSK2VE6OF7iK1g3PP/Feds-Charles-Plosser-sees-high-bar-for-change-in-pace-of-ta.html,Livemint,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.livemint.com,1390000000000.0,"Paris/London/Atlanta: Federal Reserve Bank of Philadelphia president Charles Plosser, who votes on policy this year, said recent encouraging economic data isn’t enough to change the pace of the central bank’s asset purchases.

“It would have been nice, from my perspective, had we started at a faster pace,” Plosser said in a Bloomberg Television interview with Manus Cranny in Paris, referring to the Fed’s tapering of its stimulus programme. “Given the fact that we’ve embarked on measured reductions, it’s important to give some certainty or at least clarity to the markets on what we’re doing. It’s OK to continue at $10 billion. The hurdle rate for change is pretty high in either direction.”

The Fed is trying to determine whether the economy has shown recent signs of weakness because of severe winter weather or fundamental obstacles to growth. The policy-setting Federal Open Market Committee (FOMC) meets 18-19 March in its first gathering led by chair Janet Yellen since she succeeded Ben S. Bernanke last month.

New York Fed president William C. Dudley said on 7 March he sees a “reasonably favorable” outlook for the economy, even as high unemployment and low inflation warrant stimulus for a “considerable time.”

The US employers added more workers than projected in February, data last week showed, indicating the economy is starting to bounce back from a weather-induced setback. The 175,000 gain in employment followed a revised 129,000 increase the prior month that was bigger than initially estimated.

No Whip-Saw

Improvement in the labour market is one reason the FOMC has trimmed monthly bond purchases by $10 billion in each of its past two meetings. The central bank in January reduced monthly bond purchases to $65 billion.

Policy shouldn’t be “whip-sawed from month to month,” Plosser said when asked about the jobs numbers. The numbers were “encouraging,” though they follow other data in the previous two months that were “weak,” he said.

Yellen has pledged to press on with gradual reductions in so-called quantitative easing so long as the economy continues to show signs of improvement.

The Fed has pledged to keep the main interest rate at zero well past the time unemployment falls below 6.5%. Labour department figures showed that joblessness rose to 6.7% in February from 6.6% the month before as more people entered the labour force and couldn’t find work.

Plosser, a former University of Rochester economist, became president of the Philadelphia Fed in August 2006. The bank’s district includes eastern Pennsylvania, southern New Jersey and Delaware. Bloomberg",False,LABEL_0,0.9992861151695251
3,US open: Stocks fall after Fed official hints at accelerated tapering,http://www.ifamagazine.com/news/us-open-stocks-fall-after-fed-official-hints-at-accelerated-tapering-294436,IFA Magazine,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.ifamagazine.com,1390000000000.0,"Oops, the page you are looking for does not exist or is no longer available. Everything is still awesome. Just use the search form to find your way. © IFA Magazine 2024. All Rights Reserved. We are using cookies to give you the best experience on our website. You can find out more about which cookies we are using or switch them off in settings. Our website uses cookies to enhance your experience and to help us understand how you interact with our site. Read our full Cookie Policy for more information. These cookies are essential for the basic operations of our website. Without these cookies, certain features would not work properly. They ensure that the website functions correctly and securely. Examples include: If you disable this cookie, we will not be able to save your preferences. This means that every time you visit this website you will need to enable or disable cookies again. These cookies are used to serve adverts and measure their effectiveness. They help us provide relevant advertisements. The data collected is anonymous. These include: Tracking and analytics cookies gather information on how visitors use our website. This data helps us understand user behavior, improve site navigation, and enhance your overall experience. While these cookies collect anonymous data, they may also be used to identify patterns in user behavior. Examples include: Please enable Strictly Necessary Cookies first so that we can save your preferences! More information about our Cookie Policy",False,LABEL_1,0.9992712140083313
4,"Fed risks falling 'behind the curve', Charles Plosser says",http://www.ifamagazine.com/news/fed-risks-falling-behind-the-curve-charles-plosser-says-294430,IFA Magazine,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.ifamagazine.com,1390000000000.0,"Oops, the page you are looking for does not exist or is no longer available. Everything is still awesome. Just use the search form to find your way. © IFA Magazine 2024. All Rights Reserved. We are using cookies to give you the best experience on our website. You can find out more about which cookies we are using or switch them off in settings. Our website uses cookies to enhance your experience and to help us understand how you interact with our site. Read our full Cookie Policy for more information. These cookies are essential for the basic operations of our website. Without these cookies, certain features would not work properly. They ensure that the website functions correctly and securely. Examples include: If you disable this cookie, we will not be able to save your preferences. This means that every time you visit this website you will need to enable or disable cookies again. These cookies are used to serve adverts and measure their effectiveness. They help us provide relevant advertisements. The data collected is anonymous. These include: Tracking and analytics cookies gather information on how visitors use our website. This data helps us understand user behavior, improve site navigation, and enhance your overall experience. While these cookies collect anonymous data, they may also be used to identify patterns in user behavior. Examples include: Please enable Strictly Necessary Cookies first so that we can save your preferences! More information about our Cookie Policy",False,LABEL_1,0.9992712140083313
5,Fed's Plosser: Nasty Weather Has Curbed Job Growth,http://www.moneynews.com/Economy/federal-reserve-charles-plosser-weather-job-growth/2014/03/10/id/557011,Moneynews,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.moneynews.com,1390000000000.0,"The recent performance of the US economy has been ""the best of any [Full Story]",False,LABEL_1,0.9970539808273315
6,Plosser: Fed May Have to Accelerate Tapering Pace,http://www.nasdaq.com/article/plosser-fed-may-have-to-accelerate-tapering-pace-20140310-00371,NASDAQ,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.nasdaq.com,1390000000000.0,"The Winning Formula: Sloane Stephens

Professional Tennis Player Sloane Stephens joins Nasdaq on The Winning Formula to discuss her incredible career journey and living life on her own terms. From winning the 2017 US Open to founding the Sloane Stephens podcast and more - she shares with us how she continued to bring fun and hard work into everything she does.",False,LABEL_1,0.9992308616638184
7,Fed's Plosser: Taper pace may be too slow,http://www.marketwatch.com/story/feds-plosser-taper-pace-may-be-too-slow-2014-03-10\?reflink=MW_news_stmp,MarketWatch,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.marketwatch.com,1390000000000.0,Please enable JS and disable any ad blocker,False,LABEL_1,0.9989678859710693
8,Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014,http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=23285020-b1b5-47ed-a8c4-96124bb91a39,FXstreet.com,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,www.fxstreet.com,1390000000000.0,,False,Unknown,0.0
9,US jobs growth last month hit by weather:Fed President Charles Plosser,http://economictimes.indiatimes.com/news/international/business/us-jobs-growth-last-month-hit-by-weatherfed-president-charles-plosser/articleshow/31788000.cms,Economic Times,b,ddUyU0VZz0BRneMioxUPQVP6sIxvM,economictimes.indiatimes.com,1390000000000.0,"You are here: ET Home» 404 page You can search EconomicTimes.com for similar content, browse our most read articles, or go to our Home Page A new study uncovers startling links between an extra Y chromosome and unexpected health implications for some men. Researchers call for deeper investigation into genetic factors that may influence neurodevelopmental conditions, hinting at revelations that could change the understanding of autism risk in males. What does this mean for you? Common diabetic drug Metformin may become a wonder drug to keep people young; Study finds promising results in monkeys Tirupati Laddu Adulterated Ghee Controversy: How to identify purity of Ghee at home Too much sitting can be fatal: Study of 45,000 people reveals the workout you need to combat a deskjob sedentary lifestyle Lebanon Pager Explosions: Can this happen with smartphones? Amazon's Alexa app gets a makeover, will be customised to suit users' needs Corning launches Gorilla Glass Victus with superior scratch and drop performance; Galaxy Note 20 will be first phone to sport it Spotify expands beyond audio content, launches video feature for podcasts OnePlus Nord launched with 6 cameras at Rs 24,999, to be available on August 4 Unaware Indians' privacy at risk, lockdown gives rise to online spying & stalking apps OnePlus Nord to get a Google twist with pre-installed Duo, Messages, Phone apps Sennheiser Momentum True Wireless 2 review: Features, audio experience make them worth the money HP 14s er0003TU review: Suitable for office-goers and students iOS 14 review: Takes privacy to a new high, has something for everyone Gmail introduces new work tools, will let corporate customers edit documents, files without leaving the email service Users wake up to #WhatsAppDown trend on Twitter, netizens have a field day Amazfit Bip S Lite will come to India on July 29, Verge Lite relaunched at Rs 4,999 Samsung Galaxy Tab S6 Lite review: Slim tablet with the interesting S-Pen Acer Aspire 7 review: Lets you work hard, game harder Sony WF-XB700 review: Water-resistant earbuds with excellent battery backup Covid-19 can't kill zeal of Flipkart and Amazon's staff priming for big sale days FreshToHome in talks for fresh $130 million funding Early Diwali as Covid-hit banks offer cracking deals on e-commerce WeKan looks to incubate, fund 20 Indian startups Pepper Content raises $4.2 million in funding led by Lightspeed India Online brands see higher growth on own channels, apps over Flipkart, Amazon Avataar.me raises $7 million from Sequoia India Investors steer clear of young startups with Chinese capital GIC, Sequoia in Razorpay's $100 million round; valuation may hit $1 billion Tata Group evaluates M&A opportunities to scale up Ecommerce play Policies to revamp e-gifting options underway for the upcoming festive season Flipkart, Walmart deliver $30 million more to Ninjacart Meru Cabs launches office commute service SoftBank, armed with billions in cash, joins blank check binge Food delivery volumes in India reach pre-Covid-19 peaks: Zomato's Deepinder Goyal Hot on Web In Case you missed it Top Searched Companies Top Calculators Latest News Follow us on:",False,LABEL_1,0.9992006421089172
10,ECB unlikely to end sterilisation of SMP purchases - traders,http://www.iii.co.uk/news-opinion/reuters/news/152615,Interactive Investor,b,dPhGU51DcrolUIMxbRm0InaHGA2XM,www.iii.co.uk,1390000000000.0,"Open an ii ISA, Trading Account or SIPP and pay no monthly fee for your first 6 months.

Offer ends 30 November 2024. New customers only. Other charges apply. Terms apply.",False,LABEL_1,0.9991100430488586
